simulation,frame,subframe,slot,sym1,sym2,sym3,sym4,sym5,sym6,sym7,sym8,sym9,sym10,sym11,sym12
1,48,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,0,0,3,3,3,3,3,3,3,2,3,3,1,3
1,49,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,2,0,3,3,3,3,3,3,3,3,3,3,2,3
1,49,3,0,3,1,3,3,3,3,3,3,3,3,2,3
1,49,4,0,3,3,3,3,3,3,3,3,3,3,2,3
1,49,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,6,0,3,3,3,3,3,3,3,3,3,3,2,3
1,49,7,0,3,3,3,3,3,3,3,3,2,3,1,3
1,49,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,9,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,0,0,3,3,3,3,3,3,1,3,3,3,2,3
1,50,1,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,50,3,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,4,0,3,3,3,3,3,3,3,3,2,3,1,3
1,50,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,50,6,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,7,0,3,3,3,3,3,3,3,1,3,3,2,3
1,50,8,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,0,0,3,3,3,3,3,3,3,3,3,3,2,3
1,51,1,0,3,3,3,3,3,3,3,3,2,3,1,3
1,51,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,3,0,3,3,3,3,3,3,3,3,3,3,2,3
1,51,4,0,3,3,3,3,3,3,3,3,1,3,2,3
1,51,5,0,3,3,3,3,3,3,3,3,3,2,3,0
1,51,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,53,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,1,0,3,3,3,3,3,3,3,3,3,3,3,0
1,54,2,0,3,3,3,3,3,3,3,3,3,3,3,0
1,54,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,54,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,55,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,56,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,57,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,58,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,5,0,3,3,3,3,3,3,3,3,3,3,3,0
1,59,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,59,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,60,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,61,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,1,0,3,3,3,3,3,3,3,3,3,3,3,0
1,62,2,0,3,3,3,3,3,3,3,3,3,3,3,0
1,62,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,62,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,63,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,64,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,65,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,66,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,5,0,3,3,3,3,3,3,3,3,3,3,3,0
1,67,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,67,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,68,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,3,0,3,3,3,3,3,3,3,3,3,3,2,3
1,69,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,5,0,3,3,3,3,3,3,3,3,3,3,1,3
1,69,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,69,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,70,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,70,1,0,3,3,3,3,3,3,3,3,3,3,3,0
1,70,2,0,3,3,3,3,3,3,3,3,3,3,3,0
1,70,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,70,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,70,5,0,3,3,3,3,3,3,3,3,3,3,2,3
1,70,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,70,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,70,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,70,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,6,0,3,3,3,3,3,3,3,3,3,3,2,3
1,71,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,71,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,1,0,3,3,3,3,3,3,3,3,3,3,1,3
1,72,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,7,0,3,3,3,3,3,3,3,3,3,3,2,3
1,72,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,72,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,73,9,0,3,3,3,3,3,3,3,3,3,3,2,3
1,74,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,7,0,3,3,3,3,3,3,3,3,3,3,1,3
1,74,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,74,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,0,0,3,3,3,3,3,3,3,3,3,3,2,3
1,75,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,5,0,3,3,3,3,3,3,3,3,3,3,3,0
1,75,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,75,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,1,0,3,3,3,3,3,3,3,3,3,3,2,3
1,76,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,76,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,2,0,3,3,3,3,3,3,3,3,3,3,2,3
1,77,3,0,3,3,3,3,3,3,3,3,3,3,1,3
1,77,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,77,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,78,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,78,1,0,3,3,3,3,3,3,3,3,3,3,3,0
1,78,2,0,3,3,3,3,3,3,3,3,3,3,3,0
1,78,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,78,4,0,3,3,3,3,3,3,3,3,3,3,2,3
1,78,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,78,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,78,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,78,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,78,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,79,3,0,3,3,3,3,3,3,3,3,3,3,3,3
